"","id","agencyID","Name.en","Name.lt","Description.en","Description.lt","version","uri","urn","isExternalReference","isFinal","validFrom","validTo","dsdRef"
"1","S1R003_M8020420","LSD","S1R003 - Dwellings with centralised hot water supply from city/town (district) heating networks","S1R003 - Būstai, aprūpinti karštu vandeniu centralizuotai iš miesto (rajono) šilumos tinklų","Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietovė (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R003_M8020420(1.0)",FALSE,FALSE,NA,NA,"M8020420"
"2","S1R003_M8020421","LSD","S1R003 - Dwellings with centralised hot water supply from city/town (district) heating networks","S1R003 - Būstai, aprūpinti karštu vandeniu centralizuotai iš miesto (rajono) šilumos tinklų","Fuel and energy (2009 - 2009) (Not be renewed)","Kuro ir energijos rūšis (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R003_M8020421(1.0)",FALSE,FALSE,NA,NA,"M8020421"
"3","S1R004_M8020420","LSD","S1R004 - Dwellings with centralised hot water supply from a local boiler house","S1R004 - Būstai, aprūpinti karštu vandeniu centralizuotai iš vietinės katilinės","Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietovė (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R004_M8020420(1.0)",FALSE,FALSE,NA,NA,"M8020420"
"4","S1R005_M8020420","LSD","S1R005 - Dwellings with hot water supply from heating system boilers with a hot water heater","S1R005 - Būstai, aprūpinti karštu vandeniu iš šildymo sistemos katilų su karšto vandens šildytuvu","Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietovė (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R005_M8020420(1.0)",FALSE,FALSE,NA,NA,"M8020420"
"5","S1R005_M8020421","LSD","S1R005 - Dwellings with hot water supply from heating system boilers with a hot water heater","S1R005 - Būstai, aprūpinti karštu vandeniu iš šildymo sistemos katilų su karšto vandens šildytuvu","Fuel and energy (2009 - 2009) (Not be renewed)","Kuro ir energijos rūšis (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R005_M8020421(1.0)",FALSE,FALSE,NA,NA,"M8020421"
"6","S1R006_M8020420","LSD","S1R006 - Dwellings with individual hot water supply","S1R006 - Būstai, apsirūpinantys karštu vandeniu individualiai","Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietovė (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R006_M8020420(1.0)",FALSE,FALSE,NA,NA,"M8020420"
"7","S1R006_M8020421","LSD","S1R006 - Dwellings with individual hot water supply","S1R006 - Būstai, apsirūpinantys karštu vandeniu individualiai","Fuel and energy (2009 - 2009) (Not be renewed)","Kuro ir energijos rūšis (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R006_M8020421(1.0)",FALSE,FALSE,NA,NA,"M8020421"
"8","S1R007_M8020420","LSD","S1R007 - Dwellings with no hot water supply","S1R007 - Būstai, kuriems neteikiamas karštas vanduo","Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietovė (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R007_M8020420(1.0)",FALSE,FALSE,NA,NA,"M8020420"
"9","S1R008_M8020416","LSD","S1R008 - Availability of electrical appliances in dwellings","S1R008 - Būstų apsirūpinimas elektros prietaisais","Electrical appliance | Place of residence (2009 - 2009) (Not be renewed)","Elektros prietaisas | Gyvenamoji vietovė (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R008_M8020416(1.0)",FALSE,FALSE,NA,NA,"M8020416"
"10","S1R009_M8020419","LSD","S1R009 - Heating of dwellings","S1R009 - Būstų apšildymas","Fuel and energy | Type of supply (2009 - 2009) (Not be renewed)","Kuro ir energijos rūšis | Teikimo būdas (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R009_M8020419(1.0)",FALSE,FALSE,NA,NA,"M8020419"
