"Laikotarpis","Rodiklis","Tipas","Lytis","Sektorius","Matavimo vienetai","Reikšmė"
"1995","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR","139.3"
"1995","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Viešasis sektorius","EUR","153.9"
"1995","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR","124.4"
"1995","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"1995","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Viešasis sektorius","EUR",
"1995","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"1995","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"1995","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Viešasis sektorius","EUR",
"1995","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"1996","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR","179.0"
"1996","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Viešasis sektorius","EUR","197.7"
"1996","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR","159.2"
"1996","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"1996","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Viešasis sektorius","EUR",
"1996","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"1996","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"1996","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Viešasis sektorius","EUR",
"1996","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"1997","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR","225.4"
"1997","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Viešasis sektorius","EUR","246.5"
"1997","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR","205.7"
"1997","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"1997","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Viešasis sektorius","EUR",
"1997","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"1997","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"1997","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Viešasis sektorius","EUR",
"1997","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"1998","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR","269.3"
"1998","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Viešasis sektorius","EUR","299.1"
"1998","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR","243.3"
"1998","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"1998","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Viešasis sektorius","EUR",
"1998","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"1998","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"1998","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Viešasis sektorius","EUR",
"1998","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
