"Laikotarpis","Rodiklis","Amžius (tikslinės amžiaus grupės)","Gyvenamoji vietovė","Lytis","Matavimo vienetai","Reikšmė"
"1998","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","13.2"
"1999","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","14.6"
"2000","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","16.4"
"2001","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","17.4"
"2002","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","13.8"
"2003","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","12.4"
"2004","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","10.9"
"2005","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","8.3"
"2006","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","5.8"
"2007","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","4.2"
"2008","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","5.8"
"2009","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","13.8"
"2010","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","17.8"
"2011","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","15.4"
"2012","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","13.4"
"2013","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","11.8"
"2014","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","10.7"
"2015","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","9.1"
"2016","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","7.9"
"2017","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","7.1"
"2018","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","6.1"
"1998","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","22.9"
"1999","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","27.2"
"2000","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","30.0"
"2001","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","31.1"
"2002","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","23.0"
"2003","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","24.8"
"2004","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","21.8"
"2005","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","15.8"
"2006","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","10.0"
"2007","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","8.4"
"2008","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","13.3"
"2009","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","29.6"
"2010","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","35.7"
"2011","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","32.6"
"2012","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","26.7"
"2013","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","21.9"
"2014","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","19.3"
"2015","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","16.3"
"2016","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","14.5"
"2017","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","13.3"
"2018","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai ir moterys","proc.","11.1"
"1998","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","18.2"
"1999","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","20.6"
"2000","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","21.6"
"2001","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","23.0"
"2002","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","17.6"
"2003","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","17.7"
"2004","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","14.4"
"2005","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","10.1"
"2006","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","7.0"
"2007","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","6.2"
"2008","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","9.5"
"2009","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","21.3"
"2010","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","27.2"
"2011","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","23.2"
"2012","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","19.6"
"2013","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","17.1"
"2014","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","14.7"
"2015","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","12.7"
"2016","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","10.4"
"2017","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","8.6"
"2018","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai ir moterys","proc.","7.5"
"1998","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","13.4"
"1999","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","14.8"
"2000","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","16.7"
"2001","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","17.6"
"2002","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","14.0"
"2003","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","12.5"
"2004","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","11.0"
"2005","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","8.4"
"2006","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","5.8"
"2007","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","4.3"
"2008","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","5.9"
"2009","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","14.0"
"2010","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","18.1"
"2011","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","15.7"
"2012","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","13.6"
"2013","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","12.0"
"2014","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","10.9"
"2015","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","9.3"
"2016","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","8.1"
"2017","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","7.3"
"2018","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai ir moterys","proc.","6.3"
"1998","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","13.2"
"1999","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","14.6"
"2000","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","16.4"
"2001","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","17.4"
"2002","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","13.8"
"2003","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","12.4"
"2004","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","10.9"
"2005","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","8.3"
"2006","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","5.8"
"2007","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","4.3"
"2008","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","5.8"
"2009","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","13.8"
"2010","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","17.8"
"2011","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","15.4"
"2012","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","13.4"
"2013","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","11.8"
"2014","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","10.7"
"2015","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","9.1"
"2016","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","7.9"
"2017","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","7.1"
"2018","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai ir moterys","proc.","6.2"
"1998","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","13.0"
"1999","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","14.3"
"2000","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","16.1"
"2001","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","17.2"
"2002","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","13.7"
"2003","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","12.1"
"2004","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","10.7"
"2005","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","8.3"
"2006","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","5.7"
"2007","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","4.2"
"2008","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","5.7"
"2009","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","13.7"
"2010","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","17.8"
"2011","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","15.4"
"2012","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","13.5"
"2013","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","11.9"
"2014","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","10.8"
"2015","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","9.2"
"2016","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","8.0"
"2017","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","7.2"
"2018","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai ir moterys","proc.","6.3"
"1998","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","12.8"
"1999","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","14.0"
"2000","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","15.6"
"2001","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","16.5"
"2002","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","13.2"
"2003","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","11.2"
"2004","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","10.0"
"2005","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","7.9"
"2006","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","5.4"
"2007","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","4.0"
"2008","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","5.2"
"2009","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","12.7"
"2010","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","16.7"
"2011","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","14.3"
"2012","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","12.6"
"2013","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","11.0"
"2014","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","9.9"
"2015","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","8.6"
"2016","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","7.4"
"2017","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","6.6"
"2018","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai ir moterys","proc.","5.6"
